max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Accuracy,Recall,F1,Time
3,0.05,100,1.0,0.6,0.7489177489177489,0.65,0.6419753086419753,0.0627286434173584
3,0.05,100,1.0,0.8,0.7619047619047619,0.6625,0.6583850931677019,0.06584453582763672
3,0.05,100,1.0,1.0,0.7575757575757576,0.65,0.65,0.0673515796661377
3,0.05,200,0.6,0.6,0.7532467532467533,0.675,0.6545454545454545,0.12040019035339355
3,0.05,200,0.6,0.8,0.7619047619047619,0.6875,0.6666666666666666,0.12804269790649414
3,0.05,200,0.6,1.0,0.7532467532467533,0.675,0.6545454545454545,0.1311483383178711
3,0.05,200,0.8,0.6,0.7662337662337663,0.6875,0.6707317073170732,0.12293267250061035
3,0.05,200,0.8,0.8,0.7445887445887446,0.6875,0.650887573964497,0.12884140014648438
3,0.05,200,0.8,1.0,0.7532467532467533,0.6875,0.6586826347305389,0.1238870620727539
3,0.05,200,1.0,0.6,0.7619047619047619,0.6875,0.6666666666666666,0.1223297119140625
3,0.05,200,1.0,0.8,0.7532467532467533,0.6875,0.6586826347305389,0.15436315536499023
3,0.05,200,1.0,1.0,0.7359307359307359,0.675,0.6390532544378699,0.17906951904296875
3,0.1,50,0.6,0.6,0.7316017316017316,0.625,0.6172839506172839,0.03960251808166504
3,0.1,50,0.6,0.8,0.7575757575757576,0.65,0.65,0.039397478103637695
3,0.1,50,0.6,1.0,0.7489177489177489,0.6375,0.6375,0.04218173027038574
3,0.1,50,0.8,0.6,0.7662337662337663,0.675,0.6666666666666666,0.04580879211425781
3,0.1,50,0.8,0.8,0.7575757575757576,0.65,0.65,0.04017972946166992
3,0.1,50,0.8,1.0,0.7532467532467533,0.6625,0.6503067484662577,0.05811929702758789
3,0.1,50,1.0,0.6,0.7619047619047619,0.6625,0.6583850931677019,0.036244869232177734
3,0.1,50,1.0,0.8,0.7575757575757576,0.65,0.65,0.038773536682128906
3,0.1,50,1.0,1.0,0.7705627705627706,0.6625,0.6666666666666666,0.055400848388671875
3,0.1,100,0.6,0.6,0.7575757575757576,0.6625,0.654320987654321,0.06816577911376953
3,0.1,100,0.6,0.8,0.7705627705627706,0.6875,0.6748466257668712,0.06747865676879883
3,0.1,100,0.6,1.0,0.7272727272727273,0.6375,0.6181818181818182,0.07133150100708008
3,0.1,100,0.8,0.6,0.7489177489177489,0.6875,0.6547619047619048,0.06604290008544922
3,0.1,100,0.8,0.8,0.7489177489177489,0.6875,0.6547619047619048,0.08862948417663574
3,0.1,100,0.8,1.0,0.7532467532467533,0.7,0.6627218934911243,0.08322668075561523
3,0.1,100,1.0,0.6,0.7359307359307359,0.6625,0.6347305389221557,0.05610513687133789
3,0.1,100,1.0,0.8,0.7402597402597403,0.675,0.6428571428571429,0.0660545825958252
3,0.1,100,1.0,1.0,0.7359307359307359,0.675,0.6390532544378699,0.0677790641784668
3,0.1,200,0.6,0.6,0.7532467532467533,0.675,0.6545454545454545,0.1408987045288086
3,0.1,200,0.6,0.8,0.7445887445887446,0.7,0.6549707602339181,0.12773871421813965
3,0.1,200,0.6,1.0,0.7445887445887446,0.675,0.6467065868263473,0.12544536590576172
3,0.1,200,0.8,0.6,0.7402597402597403,0.6875,0.6470588235294118,0.14663290977478027
3,0.1,200,0.8,0.8,0.7359307359307359,0.7,0.6473988439306358,0.12473320960998535
3,0.1,200,0.8,1.0,0.7316017316017316,0.725,0.651685393258427,0.1309065818786621
3,0.1,200,1.0,0.6,0.7272727272727273,0.65,0.6227544910179641,0.11720681190490723
3,0.1,200,1.0,0.8,0.7359307359307359,0.6625,0.6347305389221557,0.12304377555847168
3,0.1,200,1.0,1.0,0.7359307359307359,0.6625,0.6347305389221557,0.12096786499023438
